Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708732871.2365155,0,1,1,20.5846875,65052,35.5507800166718,1006.5000812577076,56.34986378165423
1708732872.249715,0,0,0,20.60734375,67076,35.73273285210894,1006.4987048328495,56.36138565376828
1708732873.262868,0,0,1,20.633515625,69174,35.86876918436717,1006.501501925738,56.3379715691191
1708732874.2758727,0,0,1,20.6628125,71104,36.02849958106674,1006.4992732242869,56.356627721985
1708732875.288898,0,0,1,20.6977734375,72892,36.15402467209205,1006.5013937330375,56.33887723453916
1708732876.301916,0,1,2,20.7333203125,74839,36.32634204547873,1006.5061988795817,56.29865412498198
1708732877.315066,0,1,2,20.7684765625,76753,36.463831231443606,1006.5052174596954,56.30686942050324
1708732878.3282018,0,1,2,20.805,78326,36.60743200850529,1006.503099874389,56.32459538165303
1708732879.341243,0,0,0,20.8458203125,80271,36.728221929628795,1006.5167141845978,56.21063273886728
1708732880.3544095,0,0,0,20.8848828125,82395,36.8255566945776,1006.5273811802039,56.12134234379461
1708732881.367409,0,0,0,20.9274609375,84211,36.94672113595543,1006.5405064598323,56.01147540175426
1708732882.3803844,0,0,1,20.970234375,86020,37.027012665168,1006.5488229264406,55.941861884886855
1708732883.3933985,0,0,1,21.008125,87634,37.08344016943627,1006.560931206378,55.84050958409996
1708732884.4064481,0,0,1,21.0466015625,89692,37.134091366949875,1006.5637550866529,55.816872449379574
1708732885.419533,0,0,1,21.0880078125,92150,37.1791895383441,1006.5663442998551,55.79519962968951
1708732886.4324543,0,0,1,21.1305859375,93899,37.20096060366627,1006.5606256780743,55.8430669952015
1708732887.4455898,0,0,1,21.1688671875,95283,37.21058462201028,1006.5528405917091,55.908231927042245
1708732888.458636,0,0,1,21.20578125,94772,37.202478515781934,1006.5444713109121,55.97828730353619
1708732889.4716263,0,0,1,21.24796875,95363,37.18902515947866,1006.5432060151809,55.98887854960129
1708732890.4847345,0,0,1,21.2909375,88745,37.15218879956259,1006.5432394722103,55.988598495068885
1708732891.4978056,0,0,1,21.3352734375,83708,37.115492001131265,1006.5387086164874,56.02652442594737
1708732892.5110486,0,0,1,21.3829296875,84977,37.07326362449076,1006.5397218236825,56.018043272986866
1708732893.5241215,0,0,1,21.4282421875,86730,37.03081259556158,1006.5385162134291,56.02813495591719
1708732894.5371494,0,0,1,21.4753125,88464,37.0471529325136,1006.5402410539944,56.01369700600564
1708732895.550304,0,0,1,21.52140625,90076,37.0340891863589,1006.5403231885995,56.01300949059972
1708732896.5634756,0,0,1,21.5684765625,90269,37.04457235830772,1006.5403175625635,56.01305658386096
1708732897.5764842,0,0,1,21.6118359375,90464,37.078151640346725,1006.5272510618602,56.122431522933866
1708732898.5896597,0,0,1,21.6563671875,89216,37.1705342252145,1006.5503655513213,55.928949295635206
1708732899.6027489,0,0,1,21.701875,90659,37.321819272853574,1006.6144765724252,55.39232018228071
1708732900.61578,0,1,2,21.7442578125,90561,37.47884603896301,1006.7127342699008,54.56992651214415
1708732901.629246,0,1,2,21.78625,91448,37.624240469541455,1006.8171917749186,53.69571319074372
